Order,Family,Genus,Species,strain,ID,strain_ID,File_name
Rhodospirillales,Acetobacteraceae,Gluconobacter,wancherniae,Dm-15,1,Gw15,Gluconobacter_wancherniae_Dm15.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,japonicus,Dm-27,2,Gj27,Gluconobacter_japonicus_Dm27.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,kondonii,Dm-47,3,Gk47,Gluconobacter_kondonii_Dm47.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,thailandicus,Dm-59,4,Ath59,Acetobacter_thailandicus_Dm59.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sp.,Dm-73,5,G73,Gluconobacter_sp_Dm73.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-3,6,Gc3,Gluconobacter_cerinus_Dm3.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,kondonii,Dm-16,7,Gk16,Gluconobacter_kondonii_Dm16.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sphaericus,Dm-28,8,Gs28,Gluconobacter_sphaericus_Dm28.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,persici,Dm-48,9,Ap48,Acetobacter_persici_Dm48.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,thailandicus,Dm-60,10,Ath60,Acetobacter_thailandicus_Dm60.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sp.,Dm-74,11,G74,Gluconobacter_sp_Dm74.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,wancherniae,Dm-17,12,Gw17,Gluconobacter_wancherniae_Dm17.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,thailandicus,Dm-29,13,Ath29,Acetobacter_thailandicus_Dm29.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,persici,Dm-49,14,Ap49,Acetobacter_persici_Dm49.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-75,15,Gc75,Gluconobacter_cerinus_Dm75.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,kondonii,Dm-18,16,Gk18,Gluconobacter_kondonii_Dm18.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,okinawensis,Dm-38,17,Aok38,Acetobacter_okinawensis_Dm38.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,kondonii,Dm-54,18,Gk54,Gluconobacter_kondonii_Dm54.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sp.,Dm-62,19,G62,Gluconobacter_sp_Dm62.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-76,20,Gc76,Gluconobacter_cerinus_Dm76.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,wancherniae,Dm-19,21,Gw19,Gluconobacter_wancherniae_Dm19.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,okinawensis,Dm-55,22,Aok55,Acetobacter_okinawensis_Dm55.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,kondonii,Dm-68,23,Gk68,Gluconobacter_kondonii_Dm68.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-77,24,Gc77,Gluconobacter_cerinus_Dm77.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sphaericus,Dm-21,25,Gs21,Gluconobacter_sphaericus_Dm21.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sp.,Dm-44,26,G44,Gluconobacter_sp_Dm44.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,albidus,Dm-56,27,Ga56,Gluconobacter_albidus_Dm56.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-69,28,Gc69,Gluconobacter_cerinus_Dm69.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-79,29,Gc79,Gluconobacter_cerinus_Dm79.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-13,30,Gc13,Gluconobacter_cerinus_Dm13.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-23,31,Gc23,Gluconobacter_cerinus_Dm23.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-45,32,Gc45,Gluconobacter_cerinus_Dm45.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-57,33,Gc57,Gluconobacter_cerinus_Dm57.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,sphaericus,Dm-14,34,Gs14,Gluconobacter_sphaericus_Dm14.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-25,35,Gc25,Gluconobacter_cerinus_Dm25.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,persici,Dm-46,36,Ap46,Acetobacter_persici_Dm46.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-58,37,Gc58,Gluconobacter_cerinus_Dm58.txt
Rhodospirillales,Acetobacteraceae,Acetobacter,thailandicus,Dm-72,38,Ath72,Acetobacter_thailandicus_Dm72.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,kondonii,Dm-42,39,Gk42,Gluconobacter_kondonii_Dm42.txt
Rhodospirillales,Acetobacteraceae,Gluconobacter,cerinus,Dm-80,40,Gc80,Gluconobacter_cerinus_Dm80.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM94,41,T94,Tatumella_sp_JGM94.txt
Enterobacterales,Erwiniaceae,Pantoea,sp.,JGM49,42,PA49,Pantoea_sp_JGM49.txt
Enterobacterales,Morganellaceae,Providencia,sp.,JGM181,43,PR181,Providencia_sp_JGM181.txt
Enterobacterales,Morganellaceae,Providencia,rettgerii,JGM76,44,PRr76,Providencia_rettgerii_JGM76.txt
Enterobacterales,Yersiniaceae,Nissabacter,archeti,JGM97,45,Na97,Nissabacter_archeti_JGM97.txt
Enterobacterales,Morganellaceae,Providencia,sp.,JGM172,46,PR172,Providencia_sp_JGM172.txt
Enterobacterales,Erwiniaceae,Pantoea,dispersa,JGM106,47,PAd106,Pantoea_dispersa__JGM106.txt
Enterobacterales,Enterobacteriaceae,Enterobacter,sp.,JGM127,48,E127,Enterobacter_sp_JGM127.txt
Enterobacterales,Morganellaceae,Providencia,sp.,JGM178,49,PR178,Providencia_sp_JGM178.txt
Enterobacterales,Morganellaceae,Providencia,rettgerii,JGM232,50,PRr232,Providencia_rettgeri_JGM232.txt
Enterobacterales,Enterobacteriaceae,Enterobacter,asburiae,JGM58,51,Ea58,Enterobacter_asburiae_JGM58.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM100,52,T100,Tatumella_sp_JGM100.txt
Enterobacterales,Enterobacteriaceae,Enterobacter,mori,JGM37,53,Em37,Enterobacter_mori_JGM37.txt
Enterobacterales,Morganellaceae,Providencia,rettgerii,JGM226,54,PRr226,Providencia_rettgerii_JGM226.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM91,55,T91,Tatumella_sp_JGM91.txt
Enterobacterales,Morganellaceae,Providencia,rettgerii,JGM187,56,PRr187,Providencia_rettgerii_JGM187.txt
Enterobacterales,Enterobacteriaceae,Klebsiella,variicola,JGM34,57,Kv34,Klebsiella_variicola_JGM34.txt
Enterobacterales,Enterobacteriaceae,Enterobacter,ludwigii,JGM43,58,El43,Enterobacter_ludwigii_JGM43.txt
Enterobacterales,Yersiniaceae,Serratia,rubidaea,JGM70,59,Sr70,Serratia_rubidaea_JGM70.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM82,60,T82,Tatumella_sp_JGM82.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM118,61,T118,Tatumella_sp_JGM118.txt
Enterobacterales,Enterobacteriaceae,Citrobacter,sp.,JGM124,62,C124,Citrobacter_sp_JGM124.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM130,63,T130,Tatumella_sp_JGM130.txt
Enterobacterales,Erwiniaceae,Tatumella,sp.,JGM16,64,T16,Tatumella_sp_JGM16.txt
Enterobacterales,Enterobacteriaceae,Klebsiella,michiganensis,JGM22,65,Km22,Klebsiella_michiganensis_JGM22.txt
Enterobacterales,Erwiniaceae,Pantoea,dispersa,JGM112,66,PAd112,Pantoea_dispersa_JGM112.txt
Lactobacillales,Lactobacillaceae,Lacticaseibacillus,paracasei,Dm-2019-60,67,LApa60,Lacticaseibacillus_paracasei_PB2019-60.txt
Lactobacillales,Lactobacillaceae,Lactiplantibacillus,plantarum,Dm-2019-13,68,LApl13,Lactiplantibacillus_plantarum_PB2019-13.txt
