ID	Category	Subcategory	Subsystem	Role	Features
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	"fig|586.32.peg.412, fig|586.32.peg.834"
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis	Biotin synthase (EC 2.8.1.6)	fig|586.32.peg.1904
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis	3-ketoacyl-CoA thiolase (EC 2.3.1.16)	"fig|586.32.peg.788, fig|586.32.peg.2685"
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis	Biotin operon repressor	fig|586.32.peg.1248
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|586.32.peg.1905
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	"fig|586.32.peg.1080, fig|586.32.peg.1903"
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis Experimental	Biotin synthase (EC 2.8.1.6)	fig|586.32.peg.1904
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis Experimental	"Competence protein F homolog, phosphoribosyltransferase domain"	fig|586.32.peg.3013
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis Experimental	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	fig|586.32.peg.1905
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Biotin	Biotin biosynthesis Experimental	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	"fig|586.32.peg.1080, fig|586.32.peg.1903"
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	"Thiamin ABC transporter, ATPase component"	fig|586.32.peg.1845
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	Rhodanese-like domain required for thiamine synthesis	fig|586.32.peg.2399
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	Thiamine-monophosphate kinase (EC 2.7.4.16)	fig|586.32.peg.2349
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	fig|586.32.peg.2396
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	"Thiamin ABC transporter, substrate-binding component"	fig|586.32.peg.1847
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	Thiamine kinase (EC 2.7.1.89)	fig|586.32.peg.2583
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	fig|586.32.peg.2695
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	"Thiamin ABC transporter, transmembrane component"	fig|586.32.peg.1846
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	"Cofactors, Vitamins, Prosthetic Groups, Pigments - no subcategory"	Thiamin biosynthesis	Sulfur carrier protein ThiS	fig|586.32.peg.2693
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Naphthoate synthase (EC 4.1.3.36)	fig|586.32.peg.228
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|586.32.peg.231
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)"	fig|586.32.peg.229
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|586.32.peg.230
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|586.32.peg.226
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	O-succinylbenzoate synthase (EC 4.2.1.113)	fig|586.32.peg.227
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis	"1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)"	fig|586.32.peg.2435
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	Naphthoate synthase (EC 4.1.3.36)	fig|586.32.peg.228
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	fig|586.32.peg.231
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)"	fig|586.32.peg.229
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	fig|586.32.peg.230
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	fig|586.32.peg.226
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	O-succinylbenzoate synthase (EC 4.2.1.113)	fig|586.32.peg.227
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Quinone cofactors	Menaquinone and Phylloquinone Biosynthesis -- gjo	"1,4-dihydroxy-2-naphthoate polyprenyltransferase (EC 2.5.1.74)"	fig|586.32.peg.2435
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Tetrapyrroles	Chlorophyll Degradation	Pheophorbide a oxygenase (EC 1.14.-.-)	fig|586.32.peg.5
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Tetrapyrroles	Heme and Siroheme Biosynthesis	Glutamyl-tRNA synthetase (EC 6.1.1.17)	fig|586.32.peg.1143
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Tetrapyrroles	Heme and Siroheme Biosynthesis	"Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)"	fig|586.32.peg.1165
43	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Tetrapyrroles	Heme and Siroheme Biosynthesis	Uroporphyrinogen-III synthase (EC 4.2.1.75)	fig|586.32.peg.3277
